,graph,node,DebtRank,time_steps,v_j,degree_centrality,betweenness_centrality,eigenvector_centrality,cap_buffer
595,barabasi_albert,295,0.19150244898355745,6,0.004134828403227941,0.013377926421404682,0.0005006578770355117,0.03299496310530474,55.95058633603917
596,barabasi_albert,296,0.10350673183718426,7,0.002297777688610315,0.013377926421404682,0.00019157528865503998,0.00626577052114557,32.35143420728416
597,barabasi_albert,297,0.1592899250214204,7,0.0010327757947924063,0.013377926421404682,0.0003507839953710978,0.010590991309622022,61.81064254569476
598,barabasi_albert,298,0.15144312579770658,7,0.001961199607704124,0.013377926421404682,0.0004368858073442781,0.017885116955158476,390.3784536487148
599,barabasi_albert,299,0.11901190972706324,7,0.0012707219637949673,0.013377926421404682,0.0008172312740405056,0.009313260837851604,89.89401245640241
600,small_world,0,0.007180137970465691,12,0.0030926320895866494,0.020066889632107024,0.003007788826288972,0.09310762991405541,284.73634951551753
601,small_world,299,0.007746067448616182,13,0.0015697484110119883,0.013377926421404682,0.0018854795627483109,0.0445940926909572,280.4165067552916
602,small_world,242,0.007841728786783509,11,0.005952338057987255,0.020066889632107024,0.004399452313079392,0.1577512190714803,403.9821240763533
603,small_world,124,0.004073560770378863,13,0.00022217033526296205,0.006688963210702341,0.0,0.036322569658696686,258.20474110288706
604,small_world,1,0.003944171157966318,39,0.0063189575827488015,0.006688963210702341,0.0,5.709244511221009e-06,120.89260956561651
605,small_world,2,0.005219078105120876,38,0.007168932822894436,0.020066889632107024,0.009360059257929116,1.4626250858983084e-05,73.34961399119298
606,small_world,3,0.006709989601817337,37,0.003637300127040463,0.013377926421404682,0.013939081053175014,2.6051830171183098e-05,78.35851539971469
607,small_world,12,0.004905670220045523,39,0.00030958844475376964,0.006688963210702341,0.0,5.709244511221009e-06,2077.4346308272993
608,small_world,4,0.008526332333461418,36,0.001454466685425922,0.013377926421404682,0.018495656663150097,5.211473433974978e-05,359.6796079589059
